	kor	eng
69	"네	 그래요. 공기 중에 습기가 너무 많아요."	"Yes	 it is. There's a lot of moisture in the air."
70	하늘은푸른이에요.	The sky is blue.
71	미안하다 사랑한다.	"I'm sorry	 I love you."
72	저이 채식주의 예요.	I am a vegetarian.
73	이것이 고기 들어가요?	Does this food contain any meat?
74	저는 최근에 그분한테서 연락이 업서요.	I don't have contact recently from him.
75	저는 일본어를 못 해요.	I don't speak Japanese.
76	당신을 너무 오래 기다리게 해서 죄송합니다.	I am sorry to have kept you waiting so long.
77	너무 이른 아침에 전화를 해서 죄송합니다.	Please excuse me for calling you so early in the morning.
78	난 이렇게 비싼 식당에서 식사를 할 여유가 안되요.	I can't afford to eat in such an expensive restaurant.
79	2월에 이런 따뜻한 날씨는 비정상이야.	This warm weather is abnormal for February.
80	안녕하세요.	Hello!
81	안녕하세요.	Good afternoon.
82	안녕하세요.	Good day!
83	안녕하세요.	Good morning.
84	그게뭐야?	What is it?
85	나는 김밥을 먹고십어요	I want to eat kimbap.
86	저는 미국사람 이에요	I am American.
87	이 CD 는 10 달러 입니다.	This CD costs $10.
88	한국에 너희들을 만나요!	I'll meet you guys in Korea!
89	나는 학교에 가요.	I go to school.
90	나는 한국말을 공부해요.	I study Korean.
91	내친구는 한국어를 공부해요.	My friend studies Korean.
92	우리들은 노래방에서 소주를 마셨어요.	We drank soju at the karaoke bar.
93	오늘 숙제가 너무 많아요.	"Today	 I have a lot of homework."
94	대단히 감사합니다!	Thank you very much!
95	지난 방학 때 뭐 했어요?	What did you do last vacation?
96	나는 책을 읽을 거예요.	I will read a book.
97	바쁘세요?	Are you busy?
98	죽어!	Screw you!
99	사랑은 사랑을 사랑해요.	Love loves love.
100	여기에 있는 동안 뭘 하고 싶으세요?	What do you want to do while you're here?
101	"당신이 날 필요하면	 난 어딘가에있을거야."	"If you need me	 I'll be somewhere around."
102	그는 하루 종일 편지를 찾고 있었다.	He was looking for a letter all day long.
103	런던행 열차를 시간표 확인하세요.	Look up the trains to London in the timetable.
104	올림픽은 4 년마다 열린다.	The Olympic Games are held every four years.
105	그 수줍은 소년은 그녀의 앞에서 완전히 쑥스러웠다.	The shy boy was utterly embarrassed in her presence.
106	당신은 어디든 가도 돼요.	You may go anywhere.
107	그는 일찍 출발하는 것을 조언했다.	He advised us to leave early.
108	하지만 주인공은 자신의 실수를 인식하고 있다.	However the protagonist is aware of his own mistakes.
109	나는 그녀의 일을 도왔다.	I helped her with her work.
110	우리에게 몹시 힘든 일이에요.	It is a very difficult job for us.
111	실례합니다.	Excuse me.
112	"허리가 아퍼? ""아니	 별로"" ""그래	 그게 불행 중 다행이야"""	"Does your back hurt? ""No	 not really."" ""Oh	 that's something then	 isn't it?"""
113	피카소 같은 화가는 드물다.	Such painters as Picasso are rare.
114	전화는 성가실 수 있다.	The telephone can be a nuisance.
115	시야가 미치는 범위에는 라벤더가 피어 있었다.	There was lavender as far as the eye could see.
116	시야가 미치는 범위에는 라벤더가 피어 있었다.	There was lavender in bloom as far as the eye could see.
117	나는 새 차를 살 여유가 없다.	I can't afford a new car.
118	네가 어제 산 것을 내게 보여줄 수 있어?	Will you show me what you bought yesterday?
119	디마는 하룻밤에 25 남자와 자고 그다음에 그들을 죽였다.	Dima slept with 25 men in one night and then killed them.
120	사랑이 뭐야?	What is love?
121	내 생각엔 그의 제안을 고려해 볼 만하다.	I think his suggestion is worth considering.
122	푸에르토리코의 위치를 지도 위에 보여주세요.	Show me where Puerto Rico is on the map.
123	재미 있는 제안이야. 그게 좀 고려야겠다.	An interesting proposal. Need to think it over.
124	우리는 그 사슴의 발자국을 따라갔다.	We followed the deer's tracks.
125	너 스타크래프트 진짜잘하더라.	You play Starcraft really well.
126	모든 인간은 태어날 때부터 자유로우며 그 존엄과 권리에 있어 동등하다. 인간은 천부적으로 이성과 양심을 부여받았으며 서로 형제애의 정신으로 행동하여야 한다.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
127	"산타 할아버지	 크리스마스 선물로 여자친구를 받고 싶어요"	"Santa Claus	 I want to receive a girlfriend for Christmas."
128	색깔없는 녹색의 관념은 분노하며 잠잔다.	Colorless green ideas sleep furiously.
129	나는 사나이다.	I am a man.
130	같이 춤 좀 출까요?	Shall we dance a bit?
131	어제 저는 책을 샀어요.	"Yesterday	 I bought a book."
132	여자들은 아름다워요.	Women are beautiful.
133	여보세요?	Hello!
134	이것은 중국의 부채입니다.	This is a Chinese fan.
135	내가 그를 꽉 안아서 울었다.	I hugged him tightly and cried.
136	후회하지 않아.	I don't regret it.
137	"너에게 전화를 걸고 싶었는데	 너가 안 받을까봐 결국 전화 못했어."	"I wanted to phone you	 but I thought you wouldn't get it so I didn't phone you in the end."
138	오늘 밤 하늘에는 별들이 아주 밝게 빛나고 있어.	"Tonight in the night sky	 the stars are shining very brightly."
139	이건 쉬워요.	This is easy.
140	이건 어려워요.	This is difficult.
141	저는 여자가 됐어요.	I became a woman.
142	나는 여자가 됐어.	I became a woman.
143	네가 나를 사랑하는 것 보다 내가 너를 더 사랑해.	I love you more than you love me.
144	사랑이 사랑을 어떻게 사랑할 수 있니?	How can love love love?
145	그 사람만큼 자격을 갖춘 직원은 대체하기가 어렵다.	It is difficult to replace an employee that is as qualified as he is.
146	유감스럽게도 저는 당신의 초대를 거절해야 합니다.	Unfortunately I must decline your invitation.
147	그들은 매월 한 번씩 연극을 보러 간다.	They go to watch a play once every month.
148	내가 7시경에 오면 되겠습니까?	Would it suffice if I came around 7?
149	기름이나 석탄과 같은 원자재의 가격이 계속 상승하고 있다.	The prices of raw materials such as oil or coal continue to rise.
150	카드로도 지불할 수 있어요?	Can I pay with a credit card?
151	일석이조 (一石二鳥).	To kill two birds with one stone.
152	천리길도 한 걸음부터.	A journey of a thousand miles starts with a single step.
153	오스트리아에서는 고속도로 사용을 위해서 통행료를 지불해야 한다.	"In Austria	 you have to pay to use the highway."
154	공업 배기가스가 공기를 오염시킨다.	Industrial emissions cause air pollution.
155	자동차를 차고에 놓어두었다.	I left the car in the garage.
156	너 바보 아냐!	You are not an idiot!
157	주말에 나는 슈퍼에서 아르바이트한다.	I work at the supermarket on the weekends.
158	그녀는 행복한 유년시절을 보냈다.	She had a happy childhood.
159	나는 1972년 10월 10일에 태어났다.	"I was born on October 10	 1972."
160	음악 소리를 좀 줄이세요.	Please turn the music down a bit.
161	그녀는 오른쪽 눈이 멀었다.	Her right eye is blind.
162	겨울에는 입술이 튼다.	"In winter	 our lips get chapped."
163	상처에서 피가 흘렀다.	The wound bled.
164	"실례합니다만	 우체국을 찾고 있습니다."	"Excuse me	 but I'm looking for the post office."
165	"뛰어라	 네가 할 수 있는 만큼 빨리."	Run as fast as you can.
166	그 책 9쪽을 펴시오.	Open your book to page nine.
167	주목해 주시겠습니까?	"May I have your attention	 please?"
168	중요하지 않다.	It's not important.
169	증거가 있습니까?	Is there any proof?
170	예를 하나 들 수 있어요?	Can you give me an example?
171	1941년 12월에는 일본이 미국에게 전쟁을 선포했다.	"Japan declared war on the United States in December	 1941."
172	나는 머리가 아프다.	My head hurts.
173	나는 손가락을 베었다.	I have cut my finger.
174	거울 속을 들여다보아라.	Just look in the mirror.
175	"1	 3 그리고 5는 홀수이다."	"One	 three	 and five are odd numbers."
176	"2	 4 그리고 6은 짝수이다."	"Two	 four	 six	 etc. are even numbers."
177	나는 수학을 전공하고 싶다.	I want to study math.
178	나는 사학을 전공하고 싶다.	I want to study history.
179	나는 겟테르 야니랑 죽고 싶다.	I want to die with Getter Jaani.
180	폭풍이 불 것이라고 생각한다.	It seems that there will be a storm soon.
181	폭풍이 불 것이라고 생각한다.	I think it will storm soon.
182	그는 1분 차이로 기차를 놓쳤다.	He missed the train by a minute.
183	그들은 서로 몹시 사랑한다.	They love each other deeply.
184	나는 그 사람을 좋아한다.	I like that person.
185	좀더 크게 말해라.	Speak a little louder.
186	나는 이 소음을 참을 수 없다.	I cannot stand this noise.
187	숨울 깊이 들이마십시오.	Please take a deep breath.
188	그는 매일 면도한다.	He shaves himself every day.
189	원문에 충실하기 보다는 노어권 독자의 이해를 위해 가독성과 작품성을 고려하며 번역했다.	"The translation was made in favour of readability and literary style	 as opposed to a more faithful one for the Russophonic readers' understanding."
190	너 말을 탈 줄 아니?	Can you ride a horse?
191	나는 달에 가고 싶다.	I want to go to the moon.
192	눈은 햇빛에 녹았다.	The snow melted in the sun.
193	그 호수가 얼어붙었다.	The pond has frozen over.
194	바닷가로 가자.	Let's go to the beach.
195	과장하지 마!	Don't exaggerate!
196	당신의 생각은 전적으로 옳습니다.	You're completely right.
197	오늘은 날씨가 매우 덥다.	It is very hot today.
198	오늘은 날씨가 매우 덥다.	It's very hot today.
199	"그는 스페인어뿐만 아니라	 프랑스어도 말한다."	"He speaks not only Spanish	 but also French."
200	오늘이 며칠이지?	What is the date today?
201	그 연주회는 몇 시에 시작하니?	What time is the concert?
202	동물을 학대해서는 안 된다.	One must not abuse animals.
203	즐거운 성탄절!	Merry Christmas!
204	메리 크리스마스!	Merry Christmas!
205	고르셨습니까?	Have you chosen?
206	졸업 후에 무엇을 할래?	What will you do after graduation?
207	네 입장이라면 나는 그 일을 하지 않겠다.	If I were in your position I wouldn't do that job.
208	그 사람 어디 있지?	Where is he?
209	아이티의 수도는 이름이 무엇입니까?	What is the capital of Haiti?
210	봉투 필요하세요?	Do you need an envelope?
211	나는 미국문학에 관심이 있다.	I am interested in American literature.
212	그는 노어를 완벽하게 구사한다.	He speaks Russian perfectly.
213	내가 금방 다시 전화해 줄게.	I'll call you back soon.
214	나중에 보자!	See you later!
215	이 자동차는 누구 것이지?	Whose car is this?
216	세계의 가장 긴 강의 이름이 뭐지?	What is the longest river in the world?
217	콜럼버스가 아메리카 대륙을 발견했다.	Columbus discovered America.
218	그 제안은 매우 좋게 들린다.	That sounds like a fairly good proposal.
219	다음 관광 여행이 언제예요?	When is the next guided tour?
220	그는 살인죄로 기소되었다.	He was accused of murder.
221	살인자는 살인을 자백했다.	The murderer confessed his crime.
222	그는 보통 8시에 출근한다.	He usually goes to work at 8 a.m.
223	나는 돈이 없어.	I don't have money.
224	시간이 단지 조금밖에 없어요.	I do not have much time.
225	축하합니다!	Congratulations!
226	너희들의 결혼을 축하해요.	Let me congratulate you on your marriage.
227	그는 왼팔을 부러뜨렸다.	He broke his left arm.
228	너 수영할 수 있니?	Can you swim?
229	숲에는 야생동물들이 있다.	Wild animals live in the forest.
230	우리 아파트는 조용하고 깨끗해요	My apartment is quiet and clean.
231	카나다는 너무 크고 사람이 많아요.	Canada is really big and there are lots of people.
232	머리가 길어져요	My hair is getting long.
233	저는 학생입니다.	I'm a student.
234	날씨가 추워졌어요.	The weather got cold.
235	한국말을 이해하시지요?	"You understand Korean	 don't you?"
236	친구는 도서관에 공부하러 와요	Friends come back to the library to study.
237	보통 몇 시에 아침에 드셔요?	What time do you usually eat breakfast?
238	주말에 잘 보냈죠?	"You had a good weekend	 didn't you?"
239	요즘에는 운동을 별로 안 해요.	I don't exercise a lot these days.
240	유미 씨는 갈수록 한국어를 잘 해요.	Yumi keeps getting better at Korean.
241	갈수록 추워요.	It's got cold.
242	컴퓨터가 도서관에있어요.	The computer is in the library.
243	존이 공항에 있어요.	John is at the airport.
244	토마스한테 전화해요.	I phone Thomas.
245	화요일에 만나요.	Let's meet on Tuesday.
246	한 상자에 얼마예요?	How much is it per box?
247	주소하고 집 전화 번호를 쓰세요.	Write the address and the home phone number.
248	앤드류가 학교에서 린다를 만나요.	Andrew meets Linda at school.
249	고양이한테 우유를 줬어요.	I gave the milk to the cat.
250	이 편지를 할아버지께 보냈습니다.	I sent this letter to grandfather.
251	나오꼬만 커피를 마셔요.	Only Naoko drinks coffee.
252	이부가 커피만 마셔요.	Eve drinks only coffee.
253	나는 도서관에서만 공부해요.	I only study in the library.
254	집에서 TV나 볼 거예요.	I'll watch TV at home or something.
255	비디오 게임 이나 해요.	Let's play video games or something.
256	차로 몇 시간이나 걸려요?	About how many hours does it take by car?
257	커피를 못 마십니다.	I can't drink coffee.
258	한국어를 배우고 싶어요.	I want to learn Korean.
259	선생님을 만나고 싶어요.	I want to meet the teacher.
260	한국 음식을 먹고 싶어요.	I want to eat Korean food.
261	무슨 영화를 보고 싶어요?	What kind of movie do you want to watch?
262	이번 주말에 뭐 먹고 싶어요?	What do you want to eat this weekend?
263	제니가 집에 가고 싶어해요?	Does Jenny want to go home?
264	존이 한국 영화를 보고 싶어해요?	Does John want to see a Korean movie?
265	책을 읽고 싶었어요	I wanted to read a book.
266	중국에 가고 싶었어요	I wanted to go to China.
267	어디에 가고 싶어해요?	Where do you want to go?
268	어디에 가고 싶으세요?	Where do you want to go?
269	저는 일본어 선생님이 되고 싶어요.	I want to become a teacher of Japanese.
270	피터는 의사가 되고 싶어했어요.	Peter wanted to become a doctor.
271	토마스가 영화를 보고 있어요	Thomas is watching a movie.
272	제시카가 노래를 부르고 있었어요.	Jessica was singing a song.
273	교수님이 전화를 하고 계세요.	The professor is making a phone call.
274	어머니가 케이크를 만들고 계세요.	Mom is making a cake.
275	내익 일찍 일어날 거예요.	I will probably get up early tomorrow.
276	저녁은 뭘 만들까요?	I wonder what I should make for dinner.
277	테드가 어느 대학을 갈까요?	Which university do you think Ted will go to?
278	저도 한국에 갈까 해요	I'm also thinking of going to Korea.
279	저녁을 5 시에 막을까 해요.	I'm thinking of having dinner at 5.
280	일찍 일어났어요.	I got up early.
281	어제는 일찍 일어났어요.	I got up early yesterday.
282	아마 오늘 밤에 도착할 거예요.	Maybe he will arrive tonight.
283	도서관 책에 낙서를 하지 마십시오.	Please do not write in this library book.
284	순이가 놀아요.	Suni is playing.
285	산이 파랗습니다.	The mountain is green.
286	한국말을 배우기가 힘들죠.	Learning Korean is difficult.
287	거기에 논리가 어디 있지?	Where is the logic in that?
288	이 영화는 좋은 비평을 받았다.	The film received favourable criticism.
289	거의 다 왔어요	We're almost there.
290	거의 다 헸습니다.	I'm almost done.
291	수영을 거의 매일 합니다.	I swim almost every day.
292	이리 오십시오.	Please come this way.
293	2 곱하기 7의 결과는 14이다.	Two times seven is fourteen.
294	전화 좀 써도 되겠습니까?	Can I make a phone call?
295	그는 전화를 기다리고 있다.	He is waiting for a telephone call.
296	주장을 증명할 수 있습니까?	Can you prove the allegations?
297	전쟁은 우리 모두와 연관된다.	War concerns us all.
298	택시 한 대만 불러 주시겠습니까?	Would you like me to call a taxi?
299	그것은 도덕적인 문제이다.	It is a moral question.
300	그는 좋은 사람이다.	He's a good person.
301	"전혀 위험을 감수하지 않으면	 아무 것도 얻을 수 없다."	One who doesn't take risks will not win.
302	신의 존재를 믿니?	Do you believe in God?
303	나는 신의 존재를 믿지 않는다.	I do not believe in the existence of God.
304	나는 무신론자이다.	I'm an atheist.
305	그들은 죽은 후의 삶이 있다고 믿는다.	They believe in a life after death.
306	자기가 잘못했다고 생각한다.	I feel guilty.
307	오류를 범하는 것은 인간의 속성이다.	To err is human.
308	신이 세상을 창조하였다.	God created the world.
309	종교를 가지고 계십니까?	Do you believe in any religion?
310	그것을 너는 후회할 것이다.	You will yet regret it.
311	이것은 고딕 양식의 교회이다.	The church is built in Gothic style.
312	5시에 만나자.	Let's meet at five.
313	그의 목소리는 전화에서 매우 피곤하게 들렸다.	He sounded very tired on the phone.
314	문법은 매우 복잡하다.	Grammar is very complicated.
315	질문해도 되겠습니까?	Do you mind if I ask you a question?
316	파란 장미는 아주 아름답습니다.	The blue roses are very beautiful.
317	"안녕하세요	 저는 낸시예요."	"Hello	 I am Nancy."
318	"제가 어른이되면	 나는 영어 교사가되고 싶어요."	"When I grow up	 I want to be an English teacher."
319	호박은 녹색입니다.	Courgettes are green.
320	저 고양이가 갈색입니다.	That cat is brown.
321	이 책은 당신 소속인가?	Does this book belong to you?
322	괜찮으세요?	Are you alright?
323	집은 추위입니다.	The house is cold.
324	전 많은 꿈을했습니다.	I have a lot of dreams.
325	이것은 말입니다.	This is a horse.
326	아버지는 좋은 사람입니다.	Father is a good person.
327	당신은 그녀의 아버지를 알고 있나요?	Do you know her father?
328	한국에 가고 싶어요.	I want to go to Korea.
329	비가 그쳤다.	It has stopped raining.
330	그녀는 기분이 아주 좋다.	She is in a very good mood.
331	그는 자기 일을 잃었다.	He has lost his job.
332	이 자전거는 누구 것이지?	Whose bicycle is this?
333	이 우산은 누구 것이지?	Whose umbrella is this?
334	뉴욕에서부터 런던까지는 거리가 얼마나 됩니까?	How far is it from New York to London?
335	공항에서부터 호텔까지는 거리가 얼마나 됩니까?	How far is it from the airport to the hotel?
336	오사카에서부터 교토까지는 거리가 얼마나 됩니까?	How far is it from Osaka to Kyoto?
337	슬론 스퀘어로 가는 다음 기차가 언제 있습니까?	When is the next train to Sloane Square?
338	5 더하기 2는 7이다.	Five plus two equals seven.
339	영어 알파벳은 몇 개의 글자로 되어 있습니까?	How many letters are there in the English alphabet?
340	러시아어 알파벳은 몇 개의 글자로 되어 있어요?	How many letters does the Russian alphabet have?
341	알파벳은 몇 개의 글자로 되어 있습니까?	How many letters are there in the alphabet?
342	세탁기가 고장났다.	The washing machine is out of order.
343	나는 그녀에게 긴 편지를 썼다.	I wrote a long letter to her.
344	이 편지를 등기로 보내고 싶어요.	I want to have this letter registered.
345	내 생일은 3월 22일이다.	My birthday is on March 22.
346	내 생일은 11월 10일이다.	My birthday is November 10th.
347	그는 힘든 삶을 사랐다.	He lived a hard life.
348	그녀는 힘든 삶을 살았다.	She's had a hard life.
349	제 이름은 잭입니다.	My name is Jack.
350	나는 로마의 역사에 관한 책을 찾고 있다.	I'm looking for books on Roman history.
351	존은 일본 역사에 관한 책을 찾고 있다.	John is looking for a book on Japanese history.
352	나는 중세 스페인에 관한 책을 찾고 있다.	I'm looking for a book about medieval Spain.
353	어떻게 작동하지?	How does this work?
354	이 카메라가 어떻게 작동하지?	How does this camera work?
355	문은 자동으로 닫힌다.	The door locks automatically.
356	우리는 3시에 만난다.	We'll meet at 3:00 p.m.
357	그녀는 목소리가 아주 좋다.	She has a very good voice.
358	나는 귀먹지 않았어.	I am not deaf.
359	숨은 코로 쉬어라.	Please breathe through your nose.
360	그녀를 오랫동안 쳐다보았다.	He gave her a fond look.
361	외야수는 그 공을 받을 수 없었다.	The fielder failed to catch the ball.
362	나는 매일 2시간 동안 운동을 한다.	I exercise for two hours every day.
363	슬퍼하지 마라.	Don't be sad.
364	그녀의 눈에 눈물이 고였다.	Her eyes welled up with tears.
365	더 시간이 필요해요.	I need more time.
366	생각보다 쉽지 않군.	Not as easy as I thought.
367	연락하고 지내요.	Let's keep in touch.
368	다시 한번 해봐.	Try it once more.
369	내가 사랑 오크어 언어입니다.	I like the Occitan language.
370	그 커피는 냄새가 좋다.	That coffee smells good.
371	냄새가 좋다.	This smells good.
372	가스 냄새가 난다.	I smell gas.
373	가스 냄새가 난다.	It smells like gas.
374	네.	Yes.
375	저는 Tom Hunter입니다.	I'm Tom Hunter.
376	이것은 DVD이에요.	This is a DVD.
377	너는 사람이야.	You're a person.
378	우리는 사람입니다.	We are human.
379	그는 왔어!	He has come!
380	계산서를 주세요.	"Check	 please."
381	안녕하세요세계	"Hello	 world!"
382	어디에 가요?	Where are you going to?
383	어디에 가요?	Where are you going?
384	지금 나 누구랑 얘기하니?	Who am I currently speaking to?
385	당신의 얼굴에 축하합니다.	Congratulations on your face.
386	"안녕하세요	예약을 했는데요	 제이름은 카오리 요시카와 입니다. 확인카드는 여기있습니다."	"Hello	 I have a reservation	 my name is Kaori Yoshikawa. Here is the confirmation card."
387	공부 해!	Study!
388	이 학생들이 한국사람이다.	Those students are Korean.
389	그는 아주 성실해요.	He is very honest.
390	인간은 이성이 있는 동물이에요.	Man is a rational animal.
391	지구는 하나의 행성입니다.	Earth is a planet.
392	"그는 이상하고	 나는 이상한 사람 싫어."	"He is strange	 and I don't like strange people."
393	한국에서 무슨 언어를 말해요?	What language do they speak in Korea?
394	난 계란이 싫어.	I don't like eggs.
395	그는 내 친구야. 넌 그를 알고 있어?	He's my friend. Do you know him?
396	그사람들이 뭐 해요?	What are those people doing?
397	난 그에게 동의하지 않아.	I don't agree with him.
398	그것은 좋은 생각이야!	That's a good idea!
399	"너를 들을 수 있지만	 볼 수 없어요."	"I can hear you	 but I can't see you."
400	그녀는 지금 안 만나는 것이 좋았어.	You'd better not see her now.
401	비가 오기 시작했어.	It started to rain.
402	아홉시 십분 전이에요.	It's ten to nine.
403	어제는 너무 많이 먹었어.	I ate too much food yesterday.
404	어제 너무 많이 먹어서 이제 난 병이 나요.	Yesterday I ate too much and now I feel sick.
405	난 공원에 가요.	I go to the park.
406	강물이 잔잔히 흐릅니다.	The river flows calmly.
407	"제가 문학을 공부하는 사람이기 때문에	 영화를 볼 때에 예슬적인 측면에서 보게 됩니다."	"Because I study literature	 I tend to see films from an artistic perspective."
408	그 영화의 문제는 너무 빨리 폭력적인 장면과 재미있는 장면이 섞여 나온다는 것입니다.	The problem with this movie is that the violent scenes and the funny scenes are mixed together.
409	"그 영화가 좋다고 하는 이유는	 예슬적인 측면에서 내용뿐만 아니라	 음악도 좋기 때문이에요."	"The reason I'm saying this movie is good is that	 not only is the artistic content good	 the music is too."
410	음악과 영화의 구조가 조화를 이루고 있어요.	The music is in balance with the structure of the movie.
411	"1993년까지 한 나라였는데	 분리가 되었어요."	"It was one nation until 1993	 after which it was divided."
412	문장을 외워야 합니다.	You have to memorize this sentence.
413	수원에서 인천까지 정류장이 없어요.	There is no stop between Suwon and Incheon.
414	그는 선불교에 대한 글을 번역하셨어요.	He translated this piece of writing on Zen Buddhism.
415	오늘도 조금 늦을 것 같아요.	It seems I'll be late today too.
416	지하철을 갈아타는 중에 문자를 써서 실수한 것 같아요.	It seems I made a mistake in the text message because I wrote it while transferring lines in the underground.
417	저도 이제서야 도착했어요.	At last I finally arrived too.
418	선선하게 불어오는 가을바람에 계절이 변화함을 느낍니다.	"With this cool autumn wind blowing	 we can feel the change of season."
419	혹시 불분명한 점이 있을 경우 연락 주십시오.	"In case something is not clear	 please contact us."
420	첨부파일을 확인해 주십시오.	Please check the attached file.
421	차표는 자동판매기에서도 구할 수 있습니다.	You can buy the ticket from the vending machine too.
422	이 나사는 느슨해요.	This screw is loose.
423	이 시계가 고장났어요.	This clock is broken.
424	사용설명서 자세히 읽으시요.	Please read the instructions in detail.
425	그는 나를 만나서 왔어요.	He came to see me.
426	많이 사람이 있었어.	There were lots of people.
427	가고 싶어.	I'd like to go.
428	그 전화가 필요해.	I need that phone.
429	내 방에서 전화가 있어.	There's a telephone in my room.
430	이것은 좋은 카메라 이에요.	This is a nice camera.
431	너가 모두는 이것을 읽어야 해요.	All of you have to read it.
432	너는 아마 성공할 것이다.	Maybe you'll succeed.
433	너는 아마 성공할 것이다.	You will probably succeed.
434	무슨 일이야?	What's wrong with you?
435	황소바람이 들어오니 창문을 닫아라!	A strong draft is coming in. Close the window!
